Date,Year,Month,Mine,Latitude,Longitude,Planned_Production_Tonnes,Actual_Production_Tonnes,Production_Shortfall_Tonnes,Shortfall_Percentage,Operational_Efficiency,Equipment_Availability,Weather_Impact,Shortfall_Risk,Reference_Basis
2020-05-01,2020,5,Beldongri,21.45,79.85,7023.04,4950.43,2072.62,29.51,0.967,0.83,0.878,High,MOIL official/public historical production trends
2020-05-01,2020,5,Chikla,21.65,79.7,8983.01,6464.54,2518.47,28.04,0.918,0.919,0.852,High,MOIL official/public historical production trends
2020-05-01,2020,5,Dongri Buzurg,21.95,80.15,12569.03,8483.03,4085.99,32.51,0.845,0.911,0.876,High,MOIL official/public historical production trends
2020-05-01,2020,5,Gumgaon,21.3,79.1,8529.03,6411.79,2117.24,24.82,0.877,0.984,0.871,Medium,MOIL official/public historical production trends
2020-05-01,2020,5,Kandri,21.35,79.05,8236.22,6526.0,1710.21,20.76,0.823,0.981,0.982,Medium,MOIL official/public historical production trends
2020-05-01,2020,5,Munsar,21.4,79.2,7145.82,5931.52,1214.3,16.99,0.932,0.954,0.933,Medium,MOIL official/public historical production trends
2020-05-01,2020,5,Sitapatore,21.5,79.3,8394.05,5421.8,2972.25,35.41,0.848,0.773,0.985,High,MOIL official/public historical production trends
2020-05-01,2020,5,Tirodi,21.7,80.0,13056.52,9113.39,3943.14,30.2,0.927,0.835,0.902,High,MOIL official/public historical production trends
2020-05-01,2020,5,Ukwa,21.8,80.1,13907.3,12799.56,1107.74,7.97,0.979,0.972,0.967,Low,MOIL official/public historical production trends
2020-06-01,2020,6,Balaghat,21.84995,80.22672,14979.0,7869.51,7109.49,47.46,0.817,0.79,0.814,High,MOIL official/public historical production trends
2020-06-01,2020,6,Beldongri,21.45,79.85,6144.4,3200.97,2943.44,47.9,0.82,0.916,0.693,High,MOIL official/public historical production trends
2020-06-01,2020,6,Chikla,21.65,79.7,8348.18,6024.17,2324.01,27.84,0.938,0.913,0.842,High,MOIL official/public historical production trends
2020-06-01,2020,6,Dongri Buzurg,21.95,80.15,10785.88,7684.38,3101.5,28.76,0.865,0.937,0.879,High,MOIL official/public historical production trends
2020-06-01,2020,6,Gumgaon,21.3,79.1,7501.01,3824.89,3676.12,49.01,0.914,0.773,0.722,High,MOIL official/public historical production trends
2020-06-01,2020,6,Kandri,21.35,79.05,7195.56,4980.58,2214.98,30.78,0.995,0.848,0.82,High,MOIL official/public historical production trends
2020-06-01,2020,6,Munsar,21.4,79.2,6652.03,3764.25,2887.78,43.41,0.901,0.894,0.703,High,MOIL official/public historical production trends
2020-06-01,2020,6,Sitapatore,21.5,79.3,7548.89,3409.93,4138.96,54.83,0.856,0.756,0.698,High,MOIL official/public historical production trends
2020-06-01,2020,6,Tirodi,21.7,80.0,11564.82,7336.15,4228.67,36.56,0.991,0.979,0.654,High,MOIL official/public historical production trends
2020-06-01,2020,6,Ukwa,21.8,80.1,12513.98,9675.03,2838.95,22.69,0.886,0.992,0.88,Medium,MOIL official/public historical production trends
2020-07-01,2020,7,Balaghat,21.84995,80.22672,12536.89,7365.28,5171.61,41.25,0.877,0.963,0.696,High,MOIL official/public historical production trends
2020-07-01,2020,7,Beldongri,21.45,79.85,5631.81,3474.09,2157.72,38.31,0.987,0.924,0.676,High,MOIL official/public historical production trends
2020-07-01,2020,7,Chikla,21.65,79.7,7282.81,5060.41,2222.4,30.52,0.998,0.785,0.887,High,MOIL official/public historical production trends
2020-07-01,2020,7,Dongri Buzurg,21.95,80.15,9831.14,6234.15,3596.99,36.59,0.939,0.926,0.729,High,MOIL official/public historical production trends
2020-07-01,2020,7,Gumgaon,21.3,79.1,6597.99,4835.93,1762.06,26.71,0.962,0.967,0.788,High,MOIL official/public historical production trends
2020-07-01,2020,7,Kandri,21.35,79.05,6400.97,4847.74,1553.23,24.27,0.96,0.912,0.865,Medium,MOIL official/public historical production trends
2020-07-01,2020,7,Munsar,21.4,79.2,5818.4,3434.15,2384.25,40.98,0.868,0.844,0.806,High,MOIL official/public historical production trends
2020-07-01,2020,7,Sitapatore,21.5,79.3,6103.0,3907.97,2195.03,35.97,0.893,0.886,0.81,High,MOIL official/public historical production trends
2020-07-01,2020,7,Tirodi,21.7,80.0,9149.28,4831.28,4318.0,47.19,0.807,0.956,0.684,High,MOIL official/public historical production trends
2020-07-01,2020,7,Ukwa,21.8,80.1,10423.13,5380.48,5042.65,48.38,0.954,0.804,0.673,High,MOIL official/public historical production trends
2020-08-01,2020,8,Balaghat,21.84995,80.22672,12226.15,8297.79,3928.36,32.13,0.906,0.885,0.846,High,MOIL official/public historical production trends
2020-08-01,2020,8,Beldongri,21.45,79.85,5866.48,3183.23,2683.25,45.74,0.903,0.831,0.723,High,MOIL official/public historical production trends
2020-08-01,2020,8,Chikla,21.65,79.7,7156.06,3866.14,3289.91,45.97,0.816,0.756,0.876,High,MOIL official/public historical production trends
2020-08-01,2020,8,Dongri Buzurg,21.95,80.15,9788.14,4913.35,4874.79,49.8,0.882,0.793,0.718,High,MOIL official/public historical production trends
2020-08-01,2020,8,Gumgaon,21.3,79.1,6431.51,5037.65,1393.85,21.67,0.943,0.915,0.908,Medium,MOIL official/public historical production trends
2020-08-01,2020,8,Kandri,21.35,79.05,6552.25,3863.25,2689.01,41.04,0.911,0.903,0.717,High,MOIL official/public historical production trends
2020-08-01,2020,8,Munsar,21.4,79.2,5519.34,2621.81,2897.53,52.5,0.952,0.754,0.662,High,MOIL official/public historical production trends
2020-08-01,2020,8,Sitapatore,21.5,79.3,6106.07,3713.69,2392.37,39.18,0.971,0.926,0.676,High,MOIL official/public historical production trends
2020-08-01,2020,8,Tirodi,21.7,80.0,9591.95,5157.71,4434.24,46.23,0.895,0.793,0.758,High,MOIL official/public historical production trends
2020-08-01,2020,8,Ukwa,21.8,80.1,10520.48,6080.92,4439.56,42.2,0.927,0.761,0.819,High,MOIL official/public historical production trends
2020-09-01,2020,9,Balaghat,21.84995,80.22672,14773.86,8781.6,5992.27,40.56,0.971,0.915,0.669,High,MOIL official/public historical production trends
2020-09-01,2020,9,Beldongri,21.45,79.85,6553.56,3810.3,2743.26,41.86,0.805,0.896,0.805,High,MOIL official/public historical production trends
2020-09-01,2020,9,Chikla,21.65,79.7,8214.79,5963.64,2251.15,27.4,0.929,0.865,0.904,High,MOIL official/public historical production trends
2020-09-01,2020,9,Dongri Buzurg,21.95,80.15,10950.76,7094.3,3856.46,35.22,0.992,0.976,0.669,High,MOIL official/public historical production trends
2020-09-01,2020,9,Gumgaon,21.3,79.1,7089.81,2949.78,4140.02,58.39,0.804,0.774,0.669,High,MOIL official/public historical production trends
2020-09-01,2020,9,Kandri,21.35,79.05,7250.94,3855.86,3395.08,46.82,0.969,0.756,0.726,High,MOIL official/public historical production trends
2020-09-01,2020,9,Munsar,21.4,79.2,6214.81,4493.77,1721.05,27.69,0.939,0.907,0.848,High,MOIL official/public historical production trends
2020-09-01,2020,9,Sitapatore,21.5,79.3,7608.72,4492.12,3116.6,40.96,0.856,0.794,0.868,High,MOIL official/public historical production trends
2020-09-01,2020,9,Tirodi,21.7,80.0,11620.25,6414.84,5205.42,44.8,0.883,0.843,0.742,High,MOIL official/public historical production trends
2020-09-01,2020,9,Ukwa,21.8,80.1,12516.91,8901.17,3615.74,28.89,0.972,0.857,0.854,High,MOIL official/public historical production trends
2020-10-01,2020,10,Balaghat,21.84995,80.22672,16074.15,13451.93,2622.22,16.31,0.981,0.876,0.974,Medium,MOIL official/public historical production trends
2020-10-01,2020,10,Beldongri,21.45,79.85,7191.3,5080.69,2110.61,29.35,0.979,0.847,0.852,High,MOIL official/public historical production trends
2020-10-01,2020,10,Chikla,21.65,79.7,9797.07,6602.51,3194.56,32.61,0.818,0.83,0.993,High,MOIL official/public historical production trends
2020-10-01,2020,10,Dongri Buzurg,21.95,80.15,13119.53,9994.32,3125.21,23.82,0.915,0.908,0.917,Medium,MOIL official/public historical production trends
2020-10-01,2020,10,Gumgaon,21.3,79.1,8196.16,6272.78,1923.39,23.47,0.866,0.918,0.963,Medium,MOIL official/public historical production trends
2020-10-01,2020,10,Kandri,21.35,79.05,8613.26,5892.71,2720.55,31.59,0.958,0.773,0.924,High,MOIL official/public historical production trends
2020-10-01,2020,10,Munsar,21.4,79.2,6999.07,5387.05,1612.03,23.03,0.91,0.86,0.983,Medium,MOIL official/public historical production trends
2020-10-01,2020,10,Sitapatore,21.5,79.3,8244.46,5143.31,3101.15,37.61,0.823,0.786,0.964,High,MOIL official/public historical production trends
2020-10-01,2020,10,Tirodi,21.7,80.0,12702.26,7672.78,5029.48,39.6,0.82,0.771,0.955,High,MOIL official/public historical production trends
2020-10-01,2020,10,Ukwa,21.8,80.1,13018.96,10030.07,2988.89,22.96,0.964,0.927,0.862,Medium,MOIL official/public historical production trends
2020-11-01,2020,11,Balaghat,21.84995,80.22672,17931.02,13661.47,4269.55,23.81,0.997,0.844,0.906,Medium,MOIL official/public historical production trends
2020-11-01,2020,11,Beldongri,21.45,79.85,8440.63,8014.48,426.15,5.05,0.989,0.997,0.963,Low,MOIL official/public historical production trends
2020-11-01,2020,11,Chikla,21.65,79.7,10392.86,7484.06,2908.8,27.99,0.817,0.944,0.934,High,MOIL official/public historical production trends
2020-11-01,2020,11,Dongri Buzurg,21.95,80.15,13924.45,9818.76,4105.69,29.49,0.981,0.778,0.924,High,MOIL official/public historical production trends
2020-11-01,2020,11,Gumgaon,21.3,79.1,8896.77,5272.39,3624.39,40.74,0.894,0.764,0.868,High,MOIL official/public historical production trends
2020-11-01,2020,11,Kandri,21.35,79.05,8996.09,7344.28,1651.8,18.36,0.93,0.937,0.938,Medium,MOIL official/public historical production trends
2020-11-01,2020,11,Munsar,21.4,79.2,8562.89,6033.08,2529.8,29.54,0.875,0.821,0.98,High,MOIL official/public historical production trends
2020-11-01,2020,11,Sitapatore,21.5,79.3,9095.3,6768.02,2327.28,25.59,0.993,0.753,0.995,High,MOIL official/public historical production trends
2020-11-01,2020,11,Tirodi,21.7,80.0,13389.79,11539.51,1850.28,13.82,0.978,0.882,0.999,Medium,MOIL official/public historical production trends
2020-11-01,2020,11,Ukwa,21.8,80.1,14552.17,12211.15,2341.02,16.09,0.911,0.992,0.928,Medium,MOIL official/public historical production trends
2020-12-01,2020,12,Balaghat,21.84995,80.22672,22939.19,17566.16,5373.03,23.42,0.939,0.864,0.944,Medium,MOIL official/public historical production trends
2020-12-01,2020,12,Beldongri,21.45,79.85,9991.23,6652.33,3338.9,33.42,0.98,0.761,0.892,High,MOIL official/public historical production trends
2020-12-01,2020,12,Chikla,21.65,79.7,13312.22,10607.28,2704.93,20.32,0.978,0.864,0.943,Medium,MOIL official/public historical production trends
2020-12-01,2020,12,Dongri Buzurg,21.95,80.15,16606.51,10876.69,5729.82,34.5,0.838,0.866,0.903,High,MOIL official/public historical production trends
2020-12-01,2020,12,Gumgaon,21.3,79.1,11417.8,9233.01,2184.79,19.13,0.816,0.994,0.998,Medium,MOIL official/public historical production trends
2020-12-01,2020,12,Kandri,21.35,79.05,11547.46,8425.62,3121.84,27.03,0.907,0.827,0.972,High,MOIL official/public historical production trends
2020-12-01,2020,12,Munsar,21.4,79.2,10090.72,7995.05,2095.67,20.77,0.833,0.978,0.973,Medium,MOIL official/public historical production trends
2020-12-01,2020,12,Sitapatore,21.5,79.3,11832.39,9220.91,2611.48,22.07,0.945,0.903,0.913,Medium,MOIL official/public historical production trends
2020-12-01,2020,12,Tirodi,21.7,80.0,17719.59,11211.27,6508.32,36.73,0.973,0.761,0.854,High,MOIL official/public historical production trends
2020-12-01,2020,12,Ukwa,21.8,80.1,18172.69,15207.48,2965.21,16.32,0.962,0.997,0.873,Medium,MOIL official/public historical production trends
2021-01-01,2021,1,Balaghat,21.84995,80.22672,15529.43,13184.4,2345.03,15.1,0.876,0.992,0.976,Medium,MOIL official/public historical production trends
2021-01-01,2021,1,Beldongri,21.45,79.85,6958.49,4730.6,2227.89,32.02,0.894,0.854,0.891,High,MOIL official/public historical production trends
2021-01-01,2021,1,Chikla,21.65,79.7,8269.94,7669.51,600.43,7.26,0.973,0.953,1.0,Low,MOIL official/public historical production trends
2021-01-01,2021,1,Dongri Buzurg,21.95,80.15,12111.5,10311.2,1800.31,14.86,0.911,0.942,0.992,Medium,MOIL official/public historical production trends
2021-01-01,2021,1,Gumgaon,21.3,79.1,7961.27,5071.82,2889.44,36.29,0.849,0.863,0.869,High,MOIL official/public historical production trends
2021-01-01,2021,1,Kandri,21.35,79.05,8041.58,5685.13,2356.45,29.3,0.921,0.807,0.951,High,MOIL official/public historical production trends
2021-01-01,2021,1,Munsar,21.4,79.2,6810.28,4392.94,2417.34,35.5,0.872,0.778,0.951,High,MOIL official/public historical production trends
2021-01-01,2021,1,Sitapatore,21.5,79.3,7707.93,6330.85,1377.08,17.87,0.954,0.88,0.978,Medium,MOIL official/public historical production trends
2021-01-01,2021,1,Tirodi,21.7,80.0,11598.35,9336.16,2262.2,19.5,0.912,0.969,0.911,Medium,MOIL official/public historical production trends
2021-01-01,2021,1,Ukwa,21.8,80.1,12042.52,8590.53,3451.99,28.66,0.806,0.939,0.943,High,MOIL official/public historical production trends
2021-02-01,2021,2,Balaghat,21.84995,80.22672,15698.58,8838.49,6860.1,43.7,0.843,0.784,0.852,High,MOIL official/public historical production trends
2021-02-01,2021,2,Beldongri,21.45,79.85,6630.2,4726.12,1904.08,28.72,0.918,0.848,0.916,High,MOIL official/public historical production trends
2021-02-01,2021,2,Chikla,21.65,79.7,9003.6,6655.4,2348.2,26.08,0.87,0.878,0.968,High,MOIL official/public historical production trends
2021-02-01,2021,2,Dongri Buzurg,21.95,80.15,11419.09,10115.6,1303.49,11.41,0.924,0.966,0.992,Medium,MOIL official/public historical production trends
2021-02-01,2021,2,Gumgaon,21.3,79.1,7420.83,5673.23,1747.6,23.55,0.985,0.873,0.889,Medium,MOIL official/public historical production trends
2021-02-01,2021,2,Kandri,21.35,79.05,7660.87,5991.59,1669.28,21.79,0.996,0.873,0.899,Medium,MOIL official/public historical production trends
2021-02-01,2021,2,Munsar,21.4,79.2,6820.56,3866.55,2954.01,43.31,0.848,0.769,0.869,High,MOIL official/public historical production trends
2021-02-01,2021,2,Sitapatore,21.5,79.3,7406.19,4565.95,2840.24,38.35,0.83,0.785,0.946,High,MOIL official/public historical production trends
2021-02-01,2021,2,Tirodi,21.7,80.0,11171.4,8712.54,2458.86,22.01,0.869,0.974,0.921,Medium,MOIL official/public historical production trends
2021-02-01,2021,2,Ukwa,21.8,80.1,12709.45,7246.3,5463.15,42.98,0.834,0.798,0.856,High,MOIL official/public historical production trends
2021-03-01,2021,3,Balaghat,21.84995,80.22672,16858.66,9891.83,6966.82,41.32,0.856,0.794,0.863,High,MOIL official/public historical production trends
2021-03-01,2021,3,Beldongri,21.45,79.85,7338.82,4747.79,2591.03,35.31,0.892,0.802,0.905,High,MOIL official/public historical production trends
2021-03-01,2021,3,Chikla,21.65,79.7,9811.04,6782.69,3028.35,30.87,0.938,0.76,0.97,High,MOIL official/public historical production trends
2021-03-01,2021,3,Dongri Buzurg,21.95,80.15,13244.18,10345.92,2898.26,21.88,0.816,0.968,0.988,Medium,MOIL official/public historical production trends
2021-03-01,2021,3,Gumgaon,21.3,79.1,8335.3,6528.19,1807.11,21.68,0.855,0.952,0.962,Medium,MOIL official/public historical production trends
2021-03-01,2021,3,Kandri,21.35,79.05,8442.92,5526.1,2916.82,34.55,0.842,0.843,0.923,High,MOIL official/public historical production trends
2021-03-01,2021,3,Munsar,21.4,79.2,7718.41,5616.88,2101.53,27.23,0.874,0.866,0.962,High,MOIL official/public historical production trends
2021-03-01,2021,3,Sitapatore,21.5,79.3,8314.03,6461.07,1852.96,22.29,0.85,0.928,0.984,Medium,MOIL official/public historical production trends
2021-03-01,2021,3,Tirodi,21.7,80.0,13092.19,8454.17,4638.03,35.43,0.906,0.777,0.917,High,MOIL official/public historical production trends
2021-03-01,2021,3,Ukwa,21.8,80.1,14212.87,8935.73,5277.14,37.13,0.848,0.817,0.907,High,MOIL official/public historical production trends
2021-04-01,2021,4,Balaghat,21.84995,80.22672,15622.68,9748.53,5874.15,37.6,0.864,0.803,0.899,High,MOIL official/public historical production trends
2021-04-01,2021,4,Beldongri,21.45,79.85,6906.5,5776.81,1129.69,16.36,0.978,0.898,0.952,Medium,MOIL official/public historical production trends
2021-04-01,2021,4,Chikla,21.65,79.7,9497.7,6136.53,3361.16,35.39,0.9,0.772,0.931,High,MOIL official/public historical production trends
2021-04-01,2021,4,Dongri Buzurg,21.95,80.15,12414.57,8785.59,3628.99,29.23,0.949,0.858,0.869,High,MOIL official/public historical production trends
2021-04-01,2021,4,Gumgaon,21.3,79.1,8027.71,5973.93,2053.78,25.58,0.873,0.911,0.936,High,MOIL official/public historical production trends
2021-04-01,2021,4,Kandri,21.35,79.05,8087.05,6438.52,1648.54,20.38,0.997,0.901,0.886,Medium,MOIL official/public historical production trends
2021-04-01,2021,4,Munsar,21.4,79.2,6893.59,4061.32,2832.26,41.09,0.831,0.811,0.874,High,MOIL official/public historical production trends
2021-04-01,2021,4,Sitapatore,21.5,79.3,7947.95,5320.22,2627.74,33.06,0.857,0.793,0.985,High,MOIL official/public historical production trends
2021-04-01,2021,4,Tirodi,21.7,80.0,11791.06,9072.98,2718.08,23.05,0.905,0.853,0.997,Medium,MOIL official/public historical production trends
2021-04-01,2021,4,Ukwa,21.8,80.1,12816.05,10960.91,1855.14,14.48,0.88,0.992,0.98,Medium,MOIL official/public historical production trends
2021-05-01,2021,5,Balaghat,21.84995,80.22672,17988.74,11540.02,6448.72,35.85,0.852,0.793,0.95,High,MOIL official/public historical production trends
2021-05-01,2021,5,Beldongri,21.45,79.85,7955.74,5774.77,2180.97,27.41,0.911,0.893,0.892,High,MOIL official/public historical production trends
2021-05-01,2021,5,Chikla,21.65,79.7,10072.0,6404.29,3667.71,36.41,0.837,0.831,0.914,High,MOIL official/public historical production trends
2021-05-01,2021,5,Dongri Buzurg,21.95,80.15,13086.88,8141.74,4945.14,37.79,0.848,0.779,0.942,High,MOIL official/public historical production trends
2021-05-01,2021,5,Gumgaon,21.3,79.1,8533.68,5686.07,2847.61,33.37,0.916,0.789,0.922,High,MOIL official/public historical production trends
2021-05-01,2021,5,Kandri,21.35,79.05,8746.36,5144.61,3601.75,41.18,0.81,0.834,0.87,High,MOIL official/public historical production trends
2021-05-01,2021,5,Munsar,21.4,79.2,7295.14,5874.64,1420.5,19.47,0.998,0.831,0.971,Medium,MOIL official/public historical production trends
2021-05-01,2021,5,Sitapatore,21.5,79.3,8504.05,7031.06,1472.99,17.32,0.936,0.94,0.939,Medium,MOIL official/public historical production trends
2021-05-01,2021,5,Tirodi,21.7,80.0,13039.75,9531.08,3508.67,26.91,0.882,0.837,0.989,High,MOIL official/public historical production trends
2021-05-01,2021,5,Ukwa,21.8,80.1,14635.04,10892.86,3742.19,25.57,0.993,0.781,0.96,High,MOIL official/public historical production trends
2021-06-01,2021,6,Balaghat,21.84995,80.22672,16058.99,8288.75,7770.24,48.39,0.836,0.767,0.805,High,MOIL official/public historical production trends
2021-06-01,2021,6,Beldongri,21.45,79.85,6960.85,3796.01,3164.84,45.47,0.828,0.949,0.694,High,MOIL official/public historical production trends
2021-06-01,2021,6,Chikla,21.65,79.7,8363.31,5511.33,2851.97,34.1,0.963,0.916,0.747,High,MOIL official/public historical production trends
2021-06-01,2021,6,Dongri Buzurg,21.95,80.15,11973.69,7545.17,4428.52,36.99,0.878,0.954,0.752,High,MOIL official/public historical production trends
2021-06-01,2021,6,Gumgaon,21.3,79.1,7663.6,4402.2,3261.4,42.56,0.86,0.937,0.713,High,MOIL official/public historical production trends
2021-06-01,2021,6,Kandri,21.35,79.05,7999.67,5086.08,2913.59,36.42,0.877,0.886,0.819,High,MOIL official/public historical production trends
2021-06-01,2021,6,Munsar,21.4,79.2,6472.91,3987.97,2484.94,38.39,0.988,0.907,0.688,High,MOIL official/public historical production trends
2021-06-01,2021,6,Sitapatore,21.5,79.3,7918.48,5577.4,2341.08,29.56,0.924,0.883,0.863,High,MOIL official/public historical production trends
2021-06-01,2021,6,Tirodi,21.7,80.0,11136.55,5140.12,5996.42,53.84,0.862,0.812,0.659,High,MOIL official/public historical production trends
2021-06-01,2021,6,Ukwa,21.8,80.1,12587.36,10129.6,2457.76,19.53,0.952,0.969,0.872,Medium,MOIL official/public historical production trends
2021-07-01,2021,7,Balaghat,21.84995,80.22672,12814.18,8402.95,4411.22,34.42,0.969,0.782,0.865,High,MOIL official/public historical production trends
2021-07-01,2021,7,Beldongri,21.45,79.85,5629.12,3647.01,1982.1,35.21,0.846,0.931,0.823,High,MOIL official/public historical production trends
2021-07-01,2021,7,Chikla,21.65,79.7,7645.46,3947.39,3698.07,48.37,0.909,0.813,0.699,High,MOIL official/public historical production trends
2021-07-01,2021,7,Dongri Buzurg,21.95,80.15,10408.45,7347.63,3060.83,29.41,0.917,0.85,0.906,High,MOIL official/public historical production trends
2021-07-01,2021,7,Gumgaon,21.3,79.1,6435.57,3388.28,3047.29,47.35,0.917,0.876,0.655,High,MOIL official/public historical production trends
2021-07-01,2021,7,Kandri,21.35,79.05,6914.75,5465.77,1448.98,20.95,0.986,0.891,0.899,Medium,MOIL official/public historical production trends
2021-07-01,2021,7,Munsar,21.4,79.2,5954.22,3380.08,2574.14,43.23,0.831,0.894,0.765,High,MOIL official/public historical production trends
2021-07-01,2021,7,Sitapatore,21.5,79.3,6824.3,4498.19,2326.11,34.09,0.987,0.981,0.681,High,MOIL official/public historical production trends
