,Tunnel,PegStart,PegEnd,PenetrNormMean,PenetrNormMedian,PenetrNormVariance,PenetrNormStandardDeviation,PenetrNormSkewness,PenetrNormKurtosis,PenetrRMSMean,PenetrRMSMedian,PenetrRMSVariance,PenetrRMSStandardDeviation,PenetrRMSSkewness,PenetrRMSKurtosis,RotaPressNormMean,RotaPressNormMedian,RotaPressNormVariance,RotaPressNormStandardDeviation,RotaPressNormSkewness,RotaPressNormKurtosis,RotaPressRMSMean,RotaPressRMSMedian,RotaPressRMSVariance,RotaPressRMSStandardDeviation,RotaPressRMSSkewness,RotaPressRMSKurtosis,FeedPressNormMean,FeedPressNormMedian,FeedPressNormVariance,FeedPressNormStandardDeviation,FeedPressNormSkewness,FeedPressNormKurtosis,HammerPressNormMean,HammerPressNormMedian,HammerPressNormVariance,HammerPressNormStandardDeviation,HammerPressNormSkewness,HammerPressNormKurtosis,WaterFlowNormMean,WaterFlowNormMedian,WaterFlowNormVariance,WaterFlowNormStandardDeviation,WaterFlowNormSkewness,WaterFlowNormKurtosis,WaterFlowRMSMean,WaterFlowRMSMedian,WaterFlowRMSVariance,WaterFlowRMSStandardDeviation,WaterFlowRMSSkewness,WaterFlowRMSKurtosis,Rock,transition_zone,round_length
4689,soegne_west,9953.0,9961.0,38.839,43.737,506.065,22.496,-0.793,0.727,9.587,7.99,54.917,7.411,1.285,2.253,27.404,28.753,263.302,16.227,-0.171,-0.229,5.985,4.805,26.712,5.168,1.696,3.865,7.938,15.562,385.241,19.628,-1.982,4.578,-0.949,2.092,70.911,8.421,-2.863,7.126,5.415,6.249,202.374,14.226,-0.128,0.16,4.856,3.53,21.544,4.642,1.468,2.577,Granittic_gneiss,False,8.0
690,gran_east,8439.0,8440.0,14.112,10.406,335.103,18.306,0.581,0.276,5.074,4.133,21.377,4.624,1.598,4.303,-3.264,-2.596,64.186,8.012,0.013,-0.227,2.02,1.667,3.382,1.839,1.71,4.816,-29.129,-25.78,214.384,14.642,-0.047,0.556,-5.096,-0.44,72.139,8.493,-1.945,3.45,11.639,10.417,154.226,12.419,0.007,0.057,1.277,0.535,3.217,1.794,2.136,4.789,Blackshale,True,1.0
775,gran_east,8600.0,8601.0,-0.949,1.91,374.086,19.341,-0.855,1.118,6.866,6.244,22.113,4.702,0.83,1.101,4.286,4.526,76.364,8.739,0.143,-0.09,3.863,3.036,10.768,3.282,2.523,14.161,-30.475,-27.07,77.696,8.815,0.334,11.289,-3.822,-0.225,82.955,9.108,-2.417,4.559,10.46,8.25,65.726,8.107,0.703,-0.461,1.065,0.722,1.423,1.193,2.645,9.587,Huk_limestone,True,1.0
4251,soegne_west,7490.0,7495.0,-8.934,-7.443,196.859,14.031,-2.032,8.087,5.906,5.351,12.042,3.47,1.265,3.343,5.751,12.441,514.275,22.678,-0.421,-1.147,3.92,3.256,7.825,2.797,1.494,3.32,7.264,10.488,69.136,8.315,-3.493,13.349,3.77,5.042,24.356,4.935,-4.395,22.982,-1.92,-1.006,197.646,14.059,0.103,-0.959,5.433,3.952,20.272,4.502,0.751,-0.579,Amphibolittic_gneiss,False,5.0
3777,soegne_east,8843.0,8849.0,-15.378,-14.925,239.222,15.467,-0.67,2.766,5.79,4.835,15.921,3.99,1.645,4.522,0.679,-1.383,169.75,13.029,1.17,2.125,3.695,2.978,8.485,2.913,2.801,15.823,-13.49,-12.262,54.846,7.406,-3.925,20.527,2.062,0.344,32.625,5.712,-1.666,8.097,0.311,1.019,104.528,10.224,-0.759,2.885,3.487,1.227,20.54,4.532,1.896,3.516,Amphibolittic_gneiss,False,6.0
2122,drammen,57017.0,57022.0,-45.721,-49.283,209.493,14.474,0.96,0.271,3.937,2.994,15.304,3.912,1.758,4.714,11.393,11.397,88.174,9.39,-0.171,1.086,4.426,4.058,14.151,3.762,1.242,3.051,-12.737,-12.182,361.517,19.014,-0.341,-0.252,-8.387,-4.492,117.72,10.85,-1.728,1.517,20.787,9.729,488.998,22.113,1.184,-0.329,1.189,0.611,2.626,1.62,4.095,30.629,Hornfels,False,5.0
3433,soegne_east,6978.0,6983.0,-13.005,-13.619,363.677,19.07,0.015,1.22,5.621,4.782,16.95,4.117,2.095,9.899,8.196,13.169,539.648,23.23,-0.557,-0.118,2.848,1.975,9.328,3.054,3.954,27.931,6.24,8.0,40.349,6.352,-4.238,22.085,1.625,2.542,13.306,3.648,-4.61,26.62,-4.665,-5.018,99.594,9.98,0.78,0.556,2.61,1.606,5.996,2.449,1.281,1.353,Granittic_gneiss,False,5.0
1679,drammen,54562.0,54566.0,1.997,1.055,448.998,21.19,-0.072,2.197,4.701,3.587,27.959,5.288,3.285,17.4,15.33,14.643,196.94,14.034,0.223,-0.01,2.776,2.1,8.44,2.905,2.518,10.563,-8.682,0.344,405.64,20.141,-1.733,1.707,-7.825,-0.705,161.52,12.709,-1.553,0.93,-22.5,-20.477,58.106,7.623,-1.883,6.025,1.675,0.936,6.339,2.518,4.803,32.478,Rhomb_porphyry,False,4.0
3175,mjaavann_east,911.0,920.0,22.725,26.69,360.669,18.991,-2.101,6.789,5.272,3.986,19.27,4.39,1.836,5.208,10.438,10.111,177.961,13.34,-0.001,0.151,2.619,2.07,4.678,2.163,2.493,10.146,17.772,18.775,14.527,3.811,-6.347,71.697,-2.524,-2.549,3.461,1.86,-5.893,97.249,-0.602,1.24,166.568,12.906,0.189,-0.34,4.929,3.242,21.792,4.668,0.96,-0.095,Augen_gneiss,False,9.0
2145,drammen,57144.0,57150.0,-21.752,-22.096,189.08,13.751,-0.416,4.349,2.451,2.065,6.282,2.506,4.923,44.168,-16.465,-18.308,224.848,14.995,0.794,1.18,2.524,2.184,5.379,2.319,4.241,48.844,-7.897,-7.208,151.703,12.317,-0.635,2.204,-7.978,-6.005,57.241,7.566,-2.082,4.899,13.13,8.282,765.663,27.671,-1.136,5.504,1.586,0.567,8.195,2.863,4.837,34.425,Drammensgranite,False,6.0
4609,soegne_west,9531.0,9536.0,-9.182,-6.816,226.523,15.051,-1.048,2.632,5.17,4.17,15.327,3.915,2.413,13.724,16.59,13.689,206.923,14.385,0.492,-0.717,3.0,2.463,4.691,2.166,1.678,4.357,7.415,6.462,65.049,8.065,-2.492,10.816,-0.469,-0.062,12.485,3.533,-8.185,70.707,-14.508,-20.356,381.31,19.527,3.131,11.676,5.199,4.506,12.474,3.532,0.924,0.61,Amphibolittic_gneiss,True,5.0
1381,gran_west,8233.0,8234.0,15.137,18.199,367.903,19.181,-1.626,4.411,7.198,6.53,27.051,5.201,0.652,0.126,8.302,8.888,104.706,10.233,-0.477,0.479,3.821,3.319,9.452,3.074,1.258,2.732,-36.181,-33.93,110.67,10.52,1.027,10.022,-5.807,-0.275,108.736,10.428,-1.553,0.902,13.378,12.251,38.266,6.186,-0.031,0.184,0.954,0.69,1.188,1.09,3.169,12.851,Huk_limestone,False,1.0
3658,soegne_east,8159.0,8166.0,-12.835,-11.685,250.845,15.838,-1.175,4.561,5.247,4.384,15.433,3.928,2.636,11.797,2.552,3.613,282.257,16.8,0.132,-0.762,2.696,1.96,6.706,2.59,3.036,13.107,5.388,7.288,65.724,8.107,-3.372,25.712,2.184,0.344,27.438,5.238,-1.523,8.549,0.583,3.634,197.464,14.052,-1.155,1.471,4.752,1.469,36.363,6.03,1.533,1.643,Granittic_gneiss,False,7.0
2581,drammen,59887.0,59893.0,-9.799,-8.811,233.959,15.296,-0.357,0.881,4.496,4.0,11.814,3.437,2.061,10.526,1.178,2.406,281.178,16.768,-0.272,-0.864,3.007,2.323,10.686,3.269,5.043,49.024,8.849,10.052,132.105,11.494,-1.874,6.923,-2.239,-0.819,40.859,6.392,-2.405,8.193,-1.137,-0.458,96.964,9.847,-0.865,3.204,2.192,0.704,12.392,3.52,3.598,24.282,Drammensgranite,False,6.0
4528,soegne_west,9085.0,9090.0,-5.693,-4.061,270.877,16.458,-1.616,5.331,5.44,4.707,14.352,3.788,2.652,15.169,4.241,3.433,114.48,10.7,0.785,2.256,3.341,2.521,11.242,3.353,4.174,25.931,-0.361,1.412,89.47,9.459,-3.025,18.92,1.667,0.344,36.32,6.027,-1.896,8.799,5.561,6.429,109.147,10.447,-0.156,1.944,3.871,0.986,24.918,4.992,1.392,0.86,Amphibolittic_gneiss,True,5.0
1724,drammen,54818.0,54823.5,-28.416,-30.106,352.629,18.778,0.359,1.821,5.694,3.85,31.669,5.627,2.689,12.389,4.716,1.905,304.444,17.448,0.528,-0.112,4.136,3.252,10.103,3.179,1.885,5.899,-16.595,-15.462,178.235,13.35,-0.589,5.446,-5.025,-2.071,118.92,10.905,-1.677,1.977,1.841,2.587,416.849,20.417,-0.277,-0.81,5.626,2.934,46.185,6.796,1.705,3.058,Rhomb_porphyry,False,5.5
109,gramunk,101013.0,101017.0,2.437,0.599,521.797,22.843,0.199,1.814,5.705,4.354,31.478,5.611,2.928,14.21,-0.529,0.629,113.219,10.64,-0.377,0.375,2.456,1.954,5.16,2.272,3.468,25.605,-20.286,-13.612,209.881,14.487,-1.852,3.467,-9.463,-5.568,180.872,13.449,-0.963,-0.271,10.371,12.565,85.303,9.236,-4.202,22.164,1.591,0.524,10.145,3.185,6.462,58.612,Rhomb_porphyry,False,4.0
3329,soegne_east,6411.0,6417.0,-2.818,-2.578,314.949,17.747,-0.676,3.901,6.345,5.447,21.446,4.631,1.893,7.499,-5.148,-6.475,132.248,11.5,0.281,1.19,2.358,1.736,4.444,2.108,2.611,11.132,-1.763,1.085,86.308,9.29,-4.235,18.981,-1.65,-0.1,32.076,5.664,-4.547,22.374,3.94,1.24,163.037,12.769,0.413,-0.379,4.515,3.905,8.133,2.852,0.879,0.898,Granittic_gneiss,False,6.0
3880,soegne_east,9412.0,9418.0,-4.338,-2.477,302.485,17.392,-0.978,3.129,6.569,5.77,20.83,4.564,1.338,3.207,4.662,2.956,201.662,14.201,0.696,0.266,3.761,3.165,8.764,2.96,1.221,2.03,5.097,5.925,81.899,9.05,-3.285,17.502,-0.826,-0.087,19.566,4.423,-6.419,42.842,-17.289,-18.237,105.524,10.272,0.675,0.75,4.951,4.406,10.052,3.171,0.813,0.576,Amphibolittic_gneiss,False,6.0
359,skottas,97061.0,97066.0,-4.72,-8.405,521.064,22.827,0.543,0.025,4.25,3.263,16.852,4.105,2.54,11.471,-6.592,-5.219,126.982,11.269,0.207,2.588,2.127,1.521,6.18,2.486,4.397,32.647,-8.905,-1.25,331.515,18.208,-1.984,3.164,-7.566,-4.526,133.029,11.534,-1.791,1.777,-14.688,-20.655,306.008,17.493,1.07,1.507,1.432,0.569,8.933,2.989,7.028,71.978,Rhomb_porphyry,False,5.0
3351,soegne_east,6532.0,6538.0,-9.777,-9.89,317.203,17.81,-0.313,2.256,7.429,6.128,30.131,5.489,1.771,4.841,6.468,7.157,351.385,18.745,-0.018,-0.073,4.736,3.727,18.352,4.284,3.142,20.558,1.118,4.5,102.959,10.147,-3.414,16.541,0.812,2.389,32.626,5.712,-3.898,16.294,5.696,5.75,136.75,11.694,0.381,0.308,3.534,2.001,13.758,3.709,3.043,22.022,Granittic_gneiss,False,6.0
1716,drammen,54768.0,54774.0,-27.677,-28.794,255.418,15.982,-0.238,3.407,4.817,3.884,15.315,3.913,2.877,16.338,4.462,3.562,153.065,12.372,0.548,0.041,3.591,2.987,6.243,2.499,2.157,10.117,-10.311,-8.286,82.833,9.101,-1.903,5.429,-1.221,-1.837,36.24,6.02,-2.149,11.96,-10.188,-10.592,362.742,19.046,0.317,-0.614,7.908,6.084,55.653,7.46,0.834,-0.321,Rhomb_porphyry,False,6.0
316,skottas,96830.0,96834.0,-5.171,-6.835,465.554,21.577,-0.152,1.576,5.241,4.315,22.562,4.75,1.723,5.27,-1.008,2.053,158.117,12.574,-0.761,0.146,2.43,1.88,6.889,2.625,3.759,24.425,-6.313,3.622,420.474,20.505,-1.712,1.636,-9.288,-1.1,195.885,13.996,-1.234,-0.198,2.119,1.801,350.876,18.732,0.26,0.719,1.857,0.649,14.201,3.768,5.885,48.509,Rhomb_porphyry,False,4.0
4576,soegne_west,9344.0,9347.0,5.041,6.965,433.017,20.809,-0.384,0.856,8.043,6.644,37.075,6.089,1.239,1.958,19.813,20.592,201.48,14.194,0.057,0.016,5.574,4.867,17.407,4.172,1.288,3.058,-11.584,-6.509,265.331,16.289,-0.972,4.034,-6.042,-0.308,152.961,12.368,-1.689,0.941,-4.786,-3.006,118.867,10.903,-0.814,6.419,4.423,2.777,24.127,4.912,2.179,7.183,Amphibolittic_gneiss,False,3.0
4085,soegne_west,6576.0,6581.0,-9.101,-8.326,297.29,17.242,-0.706,2.09,6.741,5.946,17.854,4.225,1.836,7.047,5.583,6.979,374.029,19.34,-0.152,-0.649,3.522,2.28,13.295,3.646,3.143,15.388,2.408,4.512,56.175,7.495,-4.371,31.955,1.483,2.542,18.618,4.315,-4.819,27.112,3.588,0.457,151.441,12.306,0.358,-0.091,3.07,1.637,8.811,2.968,1.707,9.393,Granittic_gneiss,False,5.0
4473,soegne_west,8776.0,8781.0,-15.712,-14.683,225.423,15.014,-1.867,6.963,5.523,4.665,15.497,3.937,2.719,14.832,-3.616,-4.314,173.508,13.172,0.689,0.821,3.177,2.271,7.938,2.818,2.614,11.986,-5.495,-4.237,31.274,5.592,-6.386,51.23,2.25,0.538,26.972,5.193,-1.294,6.547,2.97,5.186,126.188,11.233,-1.239,3.035,3.616,1.033,23.072,4.803,1.721,2.478,Amphibolittic_gneiss,False,5.0
4815,volleberg_west,3615.0,3620.0,-10.942,-11.083,260.54,16.141,0.152,7.199,6.309,5.364,21.741,4.663,2.404,11.852,14.667,13.238,139.456,11.809,0.613,0.719,4.031,3.146,10.459,3.234,2.05,6.646,-0.752,-0.487,239.321,15.47,-1.799,6.734,-3.593,-2.272,35.723,5.977,-3.212,12.908,5.685,5.324,98.56,9.928,-1.082,4.743,2.785,1.054,17.035,4.127,3.468,19.305,Granittic_gneiss,True,5.0
4706,soegne_west,10053.0,10059.0,12.142,13.11,750.009,27.386,-0.348,-0.037,8.701,7.693,29.965,5.474,1.18,2.24,31.206,33.231,169.87,13.033,-0.635,0.396,5.307,4.633,12.005,3.465,1.67,5.305,11.075,17.163,199.58,14.127,-1.954,3.647,-4.823,-2.767,62.115,7.881,-3.113,8.256,4.711,2.839,161.553,12.71,0.245,-0.544,5.038,3.58,19.855,4.456,1.138,0.679,Granittic_gneiss,False,6.0
1169,gran_west,7991.0,7992.0,27.417,29.95,361.503,19.013,-0.07,0.101,6.649,5.544,35.994,6.0,1.821,4.305,10.454,11.773,94.479,9.72,-0.317,-0.357,2.574,2.144,5.346,2.312,2.189,9.454,-30.89,-33.63,184.473,13.582,0.961,1.384,-6.045,-0.49,92.485,9.617,-1.518,1.052,4.877,5.163,23.008,4.797,-0.261,-0.695,0.984,0.548,2.127,1.459,3.564,15.704,Elnes_lime_shale,False,1.0
3014,lindeli_east,14016.0,14021.0,-26.463,-24.309,179.305,13.39,-1.578,4.652,3.486,2.799,8.239,2.87,3.826,26.939,-8.489,-11.031,161.54,12.71,0.662,-0.165,2.306,1.681,4.074,2.018,2.543,10.364,-9.165,-8.08,70.7,8.408,-3.964,17.697,-0.758,0.056,19.843,4.455,-6.069,38.069,1.678,0.0,84.69,9.203,0.621,0.877,1.628,0.404,5.652,2.377,1.603,1.872,Granittic_gneiss,False,5.0
3975,soegne_east,9922.0,9929.0,37.321,43.804,619.895,24.898,-1.327,2.627,9.305,7.911,43.546,6.599,1.239,1.685,27.552,29.979,224.28,14.976,-0.327,-0.5,6.151,5.199,21.135,4.597,1.657,3.935,6.313,12.875,382.152,19.549,-1.793,3.675,-1.012,2.128,83.984,9.164,-2.837,6.691,6.75,9.171,194.691,13.953,-0.407,-0.333,5.568,3.945,24.79,4.979,1.298,1.839,Granittic_gneiss,False,7.0
1075,gran_west,7897.0,7898.0,20.954,24.04,705.927,26.569,-0.315,-0.224,5.686,4.454,32.463,5.698,1.864,4.88,6.234,6.027,101.146,10.057,0.463,1.328,2.333,1.779,5.754,2.399,2.048,6.716,-31.049,-30.61,174.306,13.203,0.383,1.738,-5.604,-0.429,85.139,9.227,-1.532,1.321,4.487,6.748,110.432,10.509,-0.47,-0.173,1.491,0.607,5.837,2.416,3.074,11.6,Elnes_lime_shale,True,1.0
2245,drammen,57704.0,57710.0,8.7,9.267,147.462,12.143,-0.26,5.77,3.882,3.565,10.491,3.239,5.43,75.919,8.196,8.477,347.842,18.651,0.194,-0.017,2.699,2.316,4.975,2.23,2.904,21.845,3.976,5.741,93.903,9.69,-3.709,17.046,-3.987,-1.72,53.082,7.286,-3.025,9.569,8.574,9.739,154.691,12.438,-0.241,-0.663,1.602,0.592,6.455,2.541,2.871,8.878,Drammensgranite,False,6.0
1712,drammen,54748.0,54753.0,-20.887,-24.108,430.498,20.748,0.716,2.701,3.186,2.722,9.504,3.083,5.142,50.633,11.51,11.754,165.589,12.868,0.337,0.961,3.14,2.704,6.7,2.588,2.672,14.643,-8.047,-5.844,102.895,10.144,-2.047,5.491,-4.632,-2.63,58.484,7.647,-3.164,10.026,-4.777,-4.155,283.154,16.827,-0.02,-0.947,2.538,1.279,8.63,2.938,2.037,8.771,Rhomb_porphyry,False,5.0
2794,brulihei_east,2566.0,2572.0,15.322,14.444,217.629,14.752,0.394,0.29,8.205,6.586,41.77,6.463,1.688,4.074,18.57,17.342,298.529,17.278,0.347,-0.403,4.271,3.361,11.937,3.455,1.887,5.913,0.708,17.163,729.166,27.003,-1.143,-0.469,-8.15,-0.528,191.478,13.838,-1.228,-0.433,-6.208,-6.443,76.822,8.765,-2.375,8.925,2.964,1.515,16.846,4.104,3.678,16.354,Granittic_gneiss,False,6.0
2681,brulihei_east,1895.0,1900.0,7.352,10.232,445.793,21.114,-0.758,0.948,6.343,4.858,28.628,5.351,1.602,3.051,7.287,3.431,211.104,14.529,0.792,-0.156,2.764,1.893,6.839,2.615,1.861,4.072,-10.011,-8.088,71.135,8.434,-4.412,19.127,-1.436,-0.236,37.888,6.155,-4.788,21.825,0.792,2.361,120.537,10.979,0.05,-0.708,5.769,5.625,13.786,3.713,0.331,-0.886,Granittic_gneiss,False,5.0
3591,soegne_east,7782.0,7787.0,-1.126,-2.665,379.182,19.473,-0.058,1.228,8.528,6.857,46.835,6.844,1.681,4.244,5.813,10.576,751.137,27.407,-0.323,-0.891,4.336,3.043,20.129,4.487,3.053,16.651,-6.732,2.519,430.426,20.747,-1.118,0.789,-0.956,4.816,151.369,12.303,-1.866,1.837,1.691,4.332,187.303,13.686,-0.215,-0.579,3.939,2.241,18.027,4.246,1.528,2.39,Granittic_gneiss,False,5.0
1707,drammen,54718.0,54724.0,-31.886,-31.809,210.518,14.509,0.138,4.388,4.763,3.916,13.552,3.681,3.016,17.872,0.537,5.79,350.207,18.714,-0.555,2.01,3.671,3.173,10.527,3.245,12.887,298.637,-8.285,1.121,277.346,16.654,-0.946,-0.062,3.256,7.679,72.288,8.502,-2.546,9.173,5.131,2.664,337.701,18.377,0.064,-1.103,8.438,7.609,52.356,7.236,0.557,-0.608,Rhomb_porphyry,False,6.0
3144,lindeli_west,14234.0,14242.0,-21.469,-19.353,215.487,14.679,-1.434,3.486,4.742,3.942,11.272,3.357,2.222,8.85,-9.895,-12.438,211.034,14.527,0.472,-0.584,3.117,2.298,7.862,2.804,3.003,20.472,-12.787,-14.398,143.961,11.998,-2.001,5.86,-1.825,-0.133,52.056,7.215,-3.972,15.941,-0.474,0.0,98.827,9.941,-0.114,3.397,1.564,0.449,5.111,2.261,1.852,4.145,Amphibolittic_gneiss,False,8.0
1960,drammen,56126.0,56131.0,-43.912,-46.289,162.258,12.738,1.055,2.715,5.281,4.621,15.228,3.902,3.21,19.873,4.12,4.067,105.293,10.261,-0.116,0.824,5.619,5.279,9.686,3.112,1.247,5.281,-21.189,-17.341,130.106,11.406,-1.556,5.142,-3.742,-2.299,40.657,6.376,-2.946,9.461,-6.3,-3.292,510.664,22.598,-0.114,-1.166,10.265,7.605,62.531,7.908,0.71,-0.49,Hornfels,False,5.0
2527,drammen,59436.0,59442.0,-12.271,-9.854,239.341,15.471,-0.478,-0.042,3.287,3.183,6.171,2.484,1.761,11.394,4.094,3.712,94.748,9.734,0.193,-0.396,1.934,1.631,4.046,2.011,5.374,65.166,15.216,21.727,146.902,12.12,-2.252,7.046,-2.087,0.045,28.859,5.372,-3.292,14.286,-11.39,-10.984,133.331,11.547,-0.058,-0.653,2.133,0.949,9.677,3.111,2.821,9.191,Drammensgranite,False,6.0
3926,soegne_east,9664.0,9669.0,-5.371,-4.755,135.888,11.657,0.001,-0.107,5.505,4.904,12.347,3.514,1.312,2.888,16.963,16.275,342.682,18.512,0.058,-1.159,2.929,2.379,5.434,2.331,2.942,17.865,9.89,12.338,48.272,6.948,-4.501,24.453,-0.626,-0.062,14.899,3.86,-7.599,60.015,1.823,3.729,105.463,10.27,-0.401,-0.224,4.851,4.023,14.683,3.832,0.917,0.205,Granittic_gneiss,True,5.0
1690,drammen,54619.0,54625.0,-6.018,-5.626,276.878,16.64,-0.946,4.818,3.768,3.276,10.499,3.24,4.17,42.973,8.043,6.667,151.611,12.313,0.537,-0.014,2.549,2.077,4.867,2.206,2.4,11.033,-0.819,0.822,82.994,9.11,-3.885,16.707,-3.685,-0.275,67.606,8.222,-2.711,7.012,-22.687,-21.972,53.176,7.292,-0.054,6.392,1.361,0.824,2.854,1.689,4.943,48.019,Rhomb_porphyry,False,6.0
2027,drammen,56485.0,56491.0,-48.049,-48.835,132.439,11.508,0.406,1.225,5.381,4.889,10.139,3.184,1.707,7.088,15.281,17.048,137.541,11.728,-0.303,-0.519,4.711,4.3,7.604,2.758,1.308,3.892,-6.992,-3.791,151.505,12.309,-1.498,2.474,5.321,8.353,47.797,6.914,-2.683,8.515,3.225,3.424,506.514,22.506,-0.072,-1.401,10.176,9.514,61.296,7.829,0.594,-0.406,Hornfels,False,6.0
